"","year","airport","airport_name","state","region","latitude","longitude","delay_type","delay_prop","delay_curr","delay_trend","delay_likely","delay_comp"
"1",2003,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0325816504670041,16,"decreased","NAS","worse"
"2",2003,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.0395750228323955,23,"generally remained steady","NAS","better"
"3",2003,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0387039831787428,18,"generally remained steady","Previous Flight","better"
"4",2003,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0299429531828245,16,"decreased","NAS","better"
"5",2003,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0425254888492992,19,"generally remained steady","NAS","better"
"6",2003,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.0467987639031956,21,"increased","Previous Flight","better"
"7",2003,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.0336116595762005,22,"increased","Previous Flight","better"
"8",2003,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0334257902829401,18,"decreased","NAS","better"
"9",2003,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0467189356830237,21,"generally remained steady","NAS","worse"
"10",2003,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0373870504558053,20,"generally remained steady","Previous Flight","worse"
"11",2003,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.024207897709951,22,"increased","NAS","better"
"12",2003,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.0509978430085342,23,"decreased","NAS","worse"
"13",2003,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0418842296639493,19,"decreased","Previous Flight","worse"
"14",2003,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0427396169767548,21,"increased","Previous Flight","worse"
"15",2003,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0457648808430948,20,"generally remained steady","Previous Flight","worse"
"16",2003,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0253541015625,18,"increased","Previous Flight","better"
"17",2003,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.048814606741573,20,"decreased","NAS","worse"
"18",2003,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.037100722641998,18,"decreased","NAS","better"
"19",2003,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.0275089667619745,23,"decreased","NAS","worse"
"20",2003,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0421819437770303,16,"decreased","Previous Flight","better"
"21",2003,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0350662381437642,22,"decreased","NAS","worse"
"22",2003,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0379620073141,17,"decreased","Previous Flight","better"
"23",2003,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.0479075811101636,19,"generally remained steady","Previous Flight","worse"
"24",2003,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0474412700402764,15,"decreased","Previous Flight","worse"
"25",2003,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.0442729152308753,22,"increased","NAS","worse"
"26",2003,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.0412375217449485,13,"decreased","Previous Flight","better"
"27",2003,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0411924267249226,19,"generally remained steady","Previous Flight","worse"
"28",2004,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0397965893584723,16,"decreased","NAS","worse"
"29",2004,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.0431417433479897,23,"generally remained steady","NAS","better"
"30",2004,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0432416556666038,18,"generally remained steady","Previous Flight","better"
"31",2004,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0364918343459116,16,"decreased","NAS","better"
"32",2004,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0470785794632814,19,"generally remained steady","NAS","better"
"33",2004,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.0544607672581539,21,"increased","Previous Flight","better"
"34",2004,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.0358173605176413,22,"increased","Previous Flight","better"
"35",2004,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0428897302090794,18,"decreased","NAS","better"
"36",2004,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0595472997353861,21,"generally remained steady","NAS","worse"
"37",2004,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0283960005420952,20,"generally remained steady","Previous Flight","worse"
"38",2004,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.0291778164832555,22,"increased","NAS","better"
"39",2004,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.0551151811863444,23,"decreased","NAS","worse"
"40",2004,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0516890811029547,19,"decreased","Previous Flight","worse"
"41",2004,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0507135245690322,21,"increased","Previous Flight","worse"
"42",2004,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0560699870360325,20,"generally remained steady","Previous Flight","worse"
"43",2004,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0312774307486019,18,"increased","Previous Flight","better"
"44",2004,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.0574104666309095,20,"decreased","NAS","worse"
"45",2004,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0441243603005226,18,"decreased","NAS","better"
"46",2004,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.0328295667799025,23,"decreased","NAS","worse"
"47",2004,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0554277323113841,16,"decreased","Previous Flight","better"
