"","year","region","arr_flights","arr_del15","delay_prop"
"1",2003,"Mid West",435954,83565,0.191683067479596
"2",2003,"North East",174323,33374,0.191449206358312
"3",2003,"South",914338,152762,0.167073882962318
"4",2003,"West",695633,103971,0.149462432058284
"5",2004,"Mid West",761476,168227,0.220922261502661
"6",2004,"North East",345629,75392,0.218129844428564
"7",2004,"South",1715317,336933,0.196426083342029
"8",2004,"West",1236618,229695,0.185744506387583
"9",2005,"Mid West",704709,144812,0.205491912264495
"10",2005,"North East",356333,91127,0.255735505833027
"11",2005,"South",1732640,352788,0.203612983655
"12",2005,"West",1296676,249164,0.192155943350536
"13",2006,"Mid West",729666,176861,0.242386242472583
"14",2006,"North East",349801,94966,0.27148578763354
"15",2006,"South",1674459,363633,0.217164469240513
"16",2006,"West",1398336,294836,0.210847750469129
"17",2007,"Mid West",804958,209094,0.259757651952027
"18",2007,"North East",359022,108870,0.303240469943346
"19",2007,"South",1672880,391235,0.233869135861508
"20",2007,"West",1424521,320288,0.224839086261277
"21",2008,"Mid West",730372,165668,0.226826877262546
"22",2008,"North East",337229,85993,0.25499882868911
"23",2008,"South",1612664,343432,0.212959426142085
"24",2008,"West",1369781,285129,0.208156632337578
"25",2009,"Mid West",671419,118246,0.176113574384997
"26",2009,"North East",323648,73410,0.226820496341705
"27",2009,"South",1550733,312525,0.201533726308784
"28",2009,"West",1273307,218978,0.171975807876655
"29",2010,"Mid West",684872,130908,0.191142286441846
"30",2010,"North East",314142,64783,0.206222026981429
"31",2010,"South",1575458,275286,0.174733950381413
"32",2010,"West",1259548,211316,0.16777129573466
"33",2011,"Mid West",594584,108596,0.182641981620763
"34",2011,"North East",290346,63758,0.219593175039436
"35",2011,"South",1547205,268075,0.173264047104295
"36",2011,"West",1281361,220761,0.172286342412482
"37",2012,"Mid West",599969,94244,0.157081449208209
"38",2012,"North East",278836,48849,0.175188999985655
"39",2012,"South",1560498,249063,0.159604818461799
"40",2012,"West",1296183,214217,0.165267558670342
"41",2013,"Mid West",706233,137604,0.194842212131124
"42",2013,"North East",303693,66116,0.217706697223841
"43",2013,"South",1592088,301106,0.189126480445804
"44",2013,"West",1281050,243251,0.189884079466063
"45",2014,"Mid West",588061,132349,0.225059985273637
"46",2014,"North East",284003,60294,0.212300574289708
"47",2014,"South",1477627,289065,0.195627854661562
"48",2014,"West",1257789,261787,0.208132683621816
"49",2015,"Mid West",312755,64515,0.20627967578456
"50",2015,"North East",144609,32810,0.226887676424012
"51",2015,"South",738765,140161,0.189723389711207
"52",2015,"West",611729,115638,0.189034686928362
