	riderId	riderName	riderNumber	riderNationality	riderTeam	riderMotortype
0	1	Noboru UEDA	5	JPN	Givi Honda LCR	HONDA
0	2	Mirko GIANSANTI	32	ITA	Benetton Playlife	HONDA
0	3	Arnaud VINCENT	21	FRA	CC Valencia Airtel Aspar	APRILIA
0	4	Gianluigi SCALVINI	8	ITA	Bossini Fontana Racing	APRILIA
0	5	Manuel POGGIALI	54	RSM	Derbi Racing	DERBI
0	6	Roberto LOCATELLI	4	ITA	Diesel Vasco Rossi Racing	APRILIA
0	7	Ivan GOI	26	ITA	Team Fomma	HONDA
0	8	Emilio ALZAMORA	1	SPA	Telefonica Movistar Team	HONDA
0	9	Youichi UI	41	JPN	Derbi Racing	DERBI
0	10	Steve JENKNER	17	GER	Pev Massivhaus ADAC Sachsen	HONDA
0	11	Max SABBATANI	11	ITA	Racing Service	HONDA
0	12	Angel NIETO Jr.	29	SPA	Telefonica Movistar Team	HONDA
0	13	Randy DE PUNIET	12	FRA	Scrab Competition	APRILIA
0	14	Masao AZUMA	3	JPN	Benetton Playlife	HONDA
0	15	Gino BORSOI	23	ITA	LAE - UGT 3000	APRILIA
0	16	Lucio CECCHINELLO	9	ITA	Givi Honda LCR	HONDA
0	17	Pablo NIETO	22	SPA	Derbi Racing	DERBI
0	18	Alex DE ANGELIS	15	ITA	Chupa Chups Matteoni Racing	HONDA
0	19	Simone SANNA	16	ITA	Diesel Vasco Rossi Racing	APRILIA
0	20	Reinhard STOLZ	35	GER	R.S. Adac - Esch Racing	HONDA
0	21	Marco PETRINI	51	ITA	Semprucci Biesse Aprilia	APRILIA
0	22	Antonio ELIAS	18	SPA	Chupa Chups Matteoni Racing	HONDA
0	23	Adrian ARAUJO	10	SPA	Antinucci Racing Team	HONDA
0	24	William DE ANGELIS	53	ITA	Semprucci Biesse Aprilia	APRILIA
0	25	Jaroslav HULES	39	CZE	Italjet Moto	ITALJET
0	26	Leon HASLAM	24	GBR	Italjet Moto	ITALJET
0	27	Steve JENKNER	17	GER	Pev Massivhaus ADAC Sac	HONDA
0	28	Alex DE ANGELIS	15	ITA	Chupa Chups Matteoni Raci	HONDA
0	29	Antonio ELIAS	18	SPA	Chupa Chups Matteoni Raci	HONDA
0	30	Tohru UKAWA	4	JPN	Shell Advance Honda Team	HONDA
0	31	Olivier JACQUE	19	FRA	Chesterfield Yamaha Tech 3	YAMAHA
0	32	Daijiro KATOH	74	JPN	Axo Honda Gresini	HONDA
0	33	Shinya NAKANO	56	JPN	Chesterfield Yamaha Tech 3	YAMAHA
0	34	Ralf WALDMANN	6	GER	Aprilia Germany	APRILIA
0	35	Marco MELANDRI	13	ITA	Aprilia Grand Prix Racing	APRILIA
0	36	Klaus NHLES	26	GER	Aprilia Germany	APRILIA
0	37	Franco BATTAINI	21	ITA	Motoracing Battaini	APRILIA
0	38	Anthony WEST	14	AUS	Shell Advance Honda Team	HONDA
0	39	Jamie ROBINSON	77	GBR	QUB Team Optimum	APRILIA
0	40	Jason VINCENT	24	GBR	Padgetts M/C Sales	APRILIA
0	41	David GARCIA	54	SPA	PR2 - Circuito de Almera	APRILIA
0	42	Adrian COATES	15	GBR	QUB Team Optimum	APRILIA
0	43	Alex HOFMANN	66	GER	Racing Factory	APRILIA
0	44	Sebastian PORTO	9	ARG	Edo Racing	YAMAHA
0	45	Luca BOSCOSCURO	37	ITA	Diesel Vasco Rossi Racing	APRILIA
0	46	Johan STIGEFELT	16	SWE	Dee Cee Jeans Racing Team	TSR-HONDA
0	47	Fonsi NIETO	10	SPA	Antena 3 Yamaha-D'Antin	YAMAHA
0	48	Jarno JANSSEN	41	NED	Rizla Honda	TSR-HONDA
0	49	Naoki MATSUDO	8	JPN	Petronas Sprinta Team TVK	YAMAHA
0	50	David CHECA	42	SPA	Team Fomma	TSR-HONDA
