	sessionId	riderId	rresultPlace	rresultTotaltime	rresultTopspeed
0	3	3	1	1900-01-01 00:41:35.310000	146.879
0	3	2	2	1900-01-01 00:41:37.247000	146.765
0	3	8	3	1900-01-01 00:41:37.367000	146.758
0	3	6	4	1900-01-01 00:41:37.672000	146.74
0	3	1	5	1900-01-01 00:41:39.876000	146.61
0	3	27	6	1900-01-01 00:41:46.383000	146.23
0	3	4	7	1900-01-01 00:41:46.497000	146.223
0	3	7	8	1900-01-01 00:41:46.814000	146.205
0	3	14	9	1900-01-01 00:42:13.033000	144.691
0	3	15	10	1900-01-01 00:42:15.129000	144.572
0	3	16	11	1900-01-01 00:42:15.197000	144.568
0	3	19	12	1900-01-01 00:42:15.274000	144.563
0	3	12	13	1900-01-01 00:42:15.784000	144.534
0	3	13	14	1900-01-01 00:42:16.428000	144.498
0	3	17	15	1900-01-01 00:42:27.721000	143.857
0	3	28	16	1900-01-01 00:42:27.949000	143.844
0	3	20	17	1900-01-01 00:42:57.553000	142.192
0	3	23	18	1900-01-01 00:43:02.837000	141.901
0	3	24	19	1900-01-01 00:43:03.121000	141.886
0	3	11	20	1900-01-01 00:43:03.403000	141.87
0	3	21	21	1900-01-01 00:43:03.759000	141.851
0	3	26	22	1900-01-01 00:43:03.958000	141.84
0	3	29	23	1900-01-01 00:43:22.660000	140.82
0	7	33	1	1900-01-01 00:42:34.085000	155.457
0	7	32	2	1900-01-01 00:42:34.960000	155.404
0	7	30	3	1900-01-01 00:42:47.898000	154.621
0	7	31	4	1900-01-01 00:43:04.772000	153.611
0	7	38	5	1900-01-01 00:43:21.706000	152.611
0	7	37	6	1900-01-01 00:43:21.790000	152.606
0	7	34	7	1900-01-01 00:43:32.306000	151.992
0	7	44	8	1900-01-01 00:43:36.275000	151.762
0	7	40	9	1900-01-01 00:43:41.817000	151.441
0	7	49	10	1900-01-01 00:43:43.354000	151.352
0	7	39	11	1900-01-01 00:43:57.304000	150.551
0	7	51	12	1900-01-01 00:43:59.623000	150.419
0	7	35	13	1900-01-01 00:44:03.848000	150.179
0	7	36	14	1900-01-01 00:44:05.963000	150.059
0	7	55	15	1900-01-01 00:42:36.219000	149.353
0	7	50	16	1900-01-01 00:42:56.913000	148.154
0	7	48	17	1900-01-01 00:43:07.080000	147.571
0	7	57	18	1900-01-01 00:43:37.306000	145.867
0	11	58	1	1900-01-01 00:45:38.775000	156.125
0	11	63	2	1900-01-01 00:45:39.141000	156.104
0	11	80	3	1900-01-01 00:45:40.365000	156.035
0	11	79	4	1900-01-01 00:45:48.520000	155.572
0	11	67	5	1900-01-01 00:45:49.028000	155.543
0	11	64	6	1900-01-01 00:45:54.628000	155.227
0	11	70	7	1900-01-01 00:46:03.003000	154.756
0	11	68	8	1900-01-01 00:46:05.494000	154.617
0	11	69	9	1900-01-01 00:46:15.006000	154.087
0	11	77	10	1900-01-01 00:46:16.388000	154.01
0	11	72	11	1900-01-01 00:46:42.819000	152.558
0	11	71	12	1900-01-01 00:46:53.687000	151.969
0	11	75	13	1900-01-01 00:47:08.824000	151.155
0	11	78	14	1900-01-01 00:47:11.551000	151.01
0	11	73	15	1900-01-01 00:46:46.492000	146.917
0	15	6	1	1900-01-01 00:43:30.945000	145.343
0	15	9	2	1900-01-01 00:43:31.106000	145.334
0	15	2	3	1900-01-01 00:43:31.108000	145.334
0	15	8	4	1900-01-01 00:43:32.244000	145.27
0	15	1	5	1900-01-01 00:43:37.191000	144.996
0	15	15	6	1900-01-01 00:43:37.260000	144.992
0	15	4	7	1900-01-01 00:43:42.043000	144.728
0	15	14	8	1900-01-01 00:43:42.274000	144.715
0	15	27	9	1900-01-01 00:43:42.485000	144.703
0	15	7	10	1900-01-01 00:43:46.862000	144.462
0	15	17	11	1900-01-01 00:43:54.441000	144.046
0	15	12	12	1900-01-01 00:43:57.171000	143.897
0	15	11	13	1900-01-01 00:44:01.071000	143.685
0	15	19	14	1900-01-01 00:44:05.509000	143.444
0	15	20	15	1900-01-01 00:44:27.936000	142.238
0	15	85	16	1900-01-01 00:44:33.739000	141.929
0	15	29	17	1900-01-01 00:44:34.356000	141.897
0	15	16	18	1900-01-01 00:44:35.593000	141.831
0	15	26	19	1900-01-01 00:44:56.368000	140.738
0	15	83	20	1900-01-01 00:45:45.685000	138.21
0	19	33	1	1900-01-01 00:43:20.928000	153.582
0	19	31	2	1900-01-01 00:43:24.970000	153.343
0	19	32	3	1900-01-01 00:43:27.198000	153.212
0	19	34	4	1900-01-01 00:43:38.100000	152.574
0	19	35	5	1900-01-01 00:44:02.607000	151.159
0	19	38	6	1900-01-01 00:44:04.505000	151.051
0	19	45	7	1900-01-01 00:44:07.517000	150.879
0	19	44	8	1900-01-01 00:44:11.658000	150.643
0	19	51	9	1900-01-01 00:44:18.883000	150.234
0	19	43	10	1900-01-01 00:44:19.405000	150.205
0	19	49	11	1900-01-01 00:44:19.587000	150.194
0	19	40	12	1900-01-01 00:44:20.308000	150.154
0	19	37	13	1900-01-01 00:44:26.108000	149.827
0	19	55	14	1900-01-01 00:44:36.549000	149.242
0	19	88	15	1900-01-01 00:44:40.922000	148.999
0	19	48	16	1900-01-01 00:44:52.008000	148.385
0	19	56	17	1900-01-01 00:44:54.011000	148.275
0	19	54	18	1900-01-01 00:45:06.590000	147.586
0	19	57	19	1900-01-01 00:45:07.274000	147.549
0	23	64	1	1900-01-01 00:31:58.102000	156.191
0	23	63	2	1900-01-01 00:31:59.972000	156.039
0	23	58	3	1900-01-01 00:32:05.292000	155.608
0	23	76	4	1900-01-01 00:32:11.304000	155.124
0	23	68	5	1900-01-01 00:32:20.316000	154.403
0	23	92	6	1900-01-01 00:32:20.960000	154.352
0	23	91	7	1900-01-01 00:32:23.183000	154.175
0	23	79	8	1900-01-01 00:32:23.331000	154.164
0	23	69	9	1900-01-01 00:32:23.624000	154.14
0	23	66	10	1900-01-01 00:32:33.976000	153.324
0	23	77	11	1900-01-01 00:32:44.252000	152.522
0	23	65	12	1900-01-01 00:32:44.717000	152.486
0	23	72	13	1900-01-01 00:33:01.357000	151.205
0	23	73	14	1900-01-01 00:33:03.718000	151.025
0	23	71	15	1900-01-01 00:33:06.328000	150.827
0	23	78	16	1900-01-01 00:33:40.292000	148.291
0	23	89	17	1900-01-01 00:32:21.324000	144.035
0	27	9	1	1900-01-01 00:41:04.264000	154.199
0	27	1	2	1900-01-01 00:41:12.112000	153.709
0	27	14	3	1900-01-01 00:41:12.931000	153.658
0	27	15	4	1900-01-01 00:41:22.887000	153.042
