	sessionId	sessionSeason	sessionCountry	sessionTrackname	sessionClass	sessionSession	sessionDate	sessionTracklength	sessionWeathertype	sessionAirtemp	sessionGroundtemp	sessionHumidity
0	1	2000	RSA	Phakisa Freeway	125cc	FP1	2000-03-17 00:00:00	4242	Dry	25	33	0.57
0	2	2000	RSA	Phakisa Freeway	125cc	FP2	2000-03-18 00:00:00	4242	Dry	24	29	0.8
0	3	2000	RSA	Phakisa Freeway	125cc	RAC	2000-03-19 00:00:00	4242	Dry	27	35	0.52
0	4	2000	RSA	Phakisa Freeway	125cc	WUP	2000-03-19 00:00:00	4242	Dry	25	31	0.58
0	5	2000	RSA	Phakisa Freeway	250cc	FP1	2000-03-17 00:00:00	4242	Dry	26	34	0.68
0	6	2000	RSA	Phakisa Freeway	250cc	FP2	2000-03-18 00:00:00	4242	Dry	26	34	0.62
0	7	2000	RSA	Phakisa Freeway	250cc	RAC	2000-03-19 00:00:00	4242	Dry	27	38	0.53
0	8	2000	RSA	Phakisa Freeway	250cc	WUP	2000-03-19 00:00:00	4242	Dry	24	30	0.63
0	9	2000	RSA	Phakisa Freeway	500cc	FP1	2000-03-17 00:00:00	4242	Wet	24	30	0.75
0	10	2000	RSA	Phakisa Freeway	500cc	FP2	2000-03-18 00:00:00	4242	Dry	24	30	0.77
0	11	2000	RSA	Phakisa Freeway	500cc	RAC	2000-03-19 00:00:00	4242	Dry	28	40	0.5
0	12	2000	RSA	Phakisa Freeway	500cc	WUP	2000-03-19 00:00:00	4242	Dry	25	32	0.58
0	13	2000	MAL	Sepang International Circuit	125cc	FP1	2000-03-31 00:00:00	5548	Dry	27	36	0.81
0	14	2000	MAL	Sepang International Circuit	125cc	FP2	2000-04-01 00:00:00	5548	Dry	27	34	0.79
0	15	2000	MAL	Sepang International Circuit	125cc	RAC	2000-04-02 00:00:00	5548	Dry	29	38	0.74
0	16	2000	MAL	Sepang International Circuit	125cc	WUP	2000-04-02 00:00:00	5548	Dry	28	35	0.78
0	17	2000	MAL	Sepang International Circuit	250cc	FP1	2000-03-31 00:00:00	5548	Dry	30	42	0.69
0	18	2000	MAL	Sepang International Circuit	250cc	FP2	2000-04-01 00:00:00	5548	Dry	30	41	0.67
0	19	2000	MAL	Sepang International Circuit	250cc	RAC	2000-04-02 00:00:00	5548	Dry	31	41	0.65
0	20	2000	MAL	Sepang International Circuit	250cc	WUP	2000-04-02 00:00:00	5548	Dry	28	37	0.77
0	21	2000	MAL	Sepang International Circuit	500cc	FP1	2000-03-31 00:00:00	5548	Dry	30	41	0.76
0	22	2000	MAL	Sepang International Circuit	500cc	FP2	2000-04-01 00:00:00	5548	Dry	29	38	0.75
